source_id,target_id,edge_type,source_db
dolphin::33023,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33024,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33025,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33026,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33027,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33028,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33029,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33030,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33030,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33031,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33032,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33033,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33034,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33035,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33036,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33037,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33039,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33040,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33041,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33043,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33044,disease:1fddeb02d9df,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33045,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33046,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33047,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33048,disease:6d2e44ff8ea0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33049,disease:6d2e44ff8ea0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33050,disease:6d2e44ff8ea0,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33051,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33052,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33053,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33054,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33056,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33057,disease:13f6fef35dc1,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33058,disease:d8b94858e1b8,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33058,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33059,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33060,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33060,disease:1fddeb02d9df,ASSOCIATED_WITH_DISEASE,DoLPHiN
dolphin::33061,disease:753004664d38,ASSOCIATED_WITH_DISEASE,DoLPHiN
